MAX CAP;SUPPLY RATE;PRICE;ITEM;DIST(Ls);STATION;SYSTEM
17;1-15;924;Tauri Chimes;991.00;Porta;39 Tauri
7;4;2654;Aepyornis Egg;600,000.00;Glushko Station;47 Ceti
12;11;1675;Ceti Rabbits;600,000.00;Kaufmanis Hub;47 Ceti
14;0-9;1283;Chateau De Aegaeon;11,655.00;Schweikart Station;Aegaeon
15;3-15;621;Edan Apples of Aerial;180.00;Andrade Legacy;Aerial
4;4;8966;Aganippe Rush;133.00;Julian Market;Aganippe
14;9-14;1421;Alacarakmo Skin Art;16.00;Weyl Gateway;Alacarakmo
7;1-6;3319;Centauri Mega Gin;6,942,672.00;Hutton Oribtal;Alpha Centauri
22;2-22;489;Altairian Skin;661.00;Solo Orbiter;Altair
16;2-7;454;Alya Body Soup;540,000.00;Malaspina Gateway;Alya
16;0-11;891;Anduliga Fire Works;626,220.00;Celsius Estate;Anduliga
11;2-11;1790;Any Na Coffee;581.00;Libby Orbital;Any Na
12;1-6;1191;Arouca Conventula Sweets;410.00;Shipton Orbital;Arouca
5;1-5;6442;Az Cancri Formula 42;16.00;Fisher Station;AZ Cancri
18;2-10;825;Baltha'sine Vacuum Krill;356.00;Baltha'sine Station;Baltah'Sine
18;ND;634;Banki Amphibious Leather;531,869.00;Antonio De Andrade Vista;Banki
10;4-5;1089;Bast Snake Gin;202.00;Hart Station;Bast
11;3-6;364;Belalans Ray Leather;77.60;Boscovich Ring;Belalans
12;5-11;2373;CD-75 Kitten Brand Coffee;339.00;Kirk Dock;CD-75 661
3;2-3;12550;Cherbones Blood Crystals;576,740.00;Chalker Landing;Cherbones
18;5-12;790;Chi Eridani Marine Paste;2,181.00;Steve Masters station;Chi Eridani
20;4-14;255;Coquim Spongiform Victuals;606.00;Hirayama Installation;Coquim
15;2-8;315;Damna Carapaces;2,532.00;Nemere Market;Damna
13;11;7420;Motrona Experience Jelly;1,700,000.00;Pinzon Dock;Dea Motrona
17;2-17;211;Delta Phoenicis Palms;3,799.00;Trading post;Delta Phoenicis
7;2-5;1892;Deuringas Truffles;798.00;Shukor Hub;Deuringas
